sciname,fbname,common
Grammatorcynus bilineatus,Double-lined mackerel,Double-Lined Mackerel
Aipysurus laevis,olive-brown seasnake,Olive-Brown Seasnake
Astrotia stokesii,Stokes' sea snake,Stokes' Sea Snake
Hydrophis caerulescens,dwarf seasnake,Dwarf Seasnake
Hydrophis spiralis,yellow sea snake,Yellow Sea Snake
Enhydrina schistosa,beaked sea snake,Beaked Sea Snake
Emydocephalus annulatus,turtle-headed seasnake,Turtle-Headed Seasnake
Hydrophis cyanocinctus,annulated sea snake,Annulated Sea Snake
Hydrophis major,NA,"NA"
Hydrophis czeblukovi,fine-spined seasnake,Fine-Spined Seasnake
Hydrophis elegans,elegant seasnake,Elegant Seasnake
Hydrophis ornatus,ornate reef seasnake,Ornate Reef Seasnake
Pelamis platura,pelagic sea snake,Pelagic Sea Snake
Hydrophis coggeri,Cogger's sea snake,Cogger's Sea Snake
Lapemis curtus,Hardwicke's spine-bellied seasnake,Hardwicke's Spine-Bellied Seasnake
Aipysurus duboisii,reef shallows seasnake,Reef Shallows Seasnake
Laticauda colubrina,yellow-lipped sea krait,Yellow-Lipped Sea Krait
Acalyptophis peronii,spiny-headed seasnake,Spiny-Headed Seasnake
Aipysurus eydouxii,spine-tailed seasnake,Spine-Tailed Seasnake
Acrochordus granulatus,file snake,File Snake
Laticauda laticaudata,brown-lipped sea krait,Brown-Lipped Sea Krait
Ctenochaetus strigosus,Spotted surgeonfish,Spotted Surgeonfish
Naso lituratus,Orangespine unicornfish,Orangespine Unicornfish
Naso tonganus,Bulbnose unicornfish,Bulbnose Unicornfish
Prionurus scalprum,Scalpel sawtail,Scalpel Sawtail
Acanthurus coeruleus,Blue tang surgeonfish,Blue Tang Surgeonfish
Naso reticulatus,Reticulate unicornfish,Reticulate Unicornfish
Ctenochaetus binotatus,Twospot surgeonfish,Twospot Surgeonfish
Acanthurus maculiceps,White-freckled surgeonfish,White-Freckled Surgeonfish
Ctenochaetus cyanocheilus,Short-tail bristle-tooth,Short-Tail Bristle-Tooth
Acanthurus fowleri,Fowler's surgeonfish,Fowler's Surgeonfish
Acanthurus achilles,Achilles tang,Achilles Tang
Acanthurus nubilus,Bluelined surgeon,Bluelined Surgeon
Naso fageni,Horseface unicornfish,Horseface Unicornfish
Naso mcdadei,Squarenose unicornfish,Squarenose Unicornfish
Ctenochaetus marginatus,Striped-fin surgeonfish,Striped-Fin Surgeonfish
Acanthurus triostegus,Convict surgeonfish,Convict Surgeonfish
Acanthurus mata,Elongate surgeonfish,Elongate Surgeonfish
Naso caeruleacauda,Blue unicorn,Blue Unicorn
Acanthurus nigricans,Whitecheek surgeonfish,Whitecheek Surgeonfish
Naso unicornis,Bluespine unicornfish,Bluespine Unicornfish
Acanthurus blochii,Ringtail surgeonfish,Ringtail Surgeonfish
Paracanthurus hepatus,Palette surgeonfish,Palette Surgeonfish
Zebrasoma gemmatum,Spotted tang,Spotted Tang
Acanthurus auranticavus,Orange-socket surgeonfish,Orange-Socket Surgeonfish
Naso minor,Slender unicorn,Slender Unicorn
Acanthurus reversus,null,Null
Acanthurus japonicus,Japan surgeonfish,Japan Surgeonfish
Naso lopezi,Elongate unicornfish,Elongate Unicornfish
Naso thynnoides,Oneknife unicornfish,Oneknife Unicornfish
Acanthurus dussumieri,Eyestripe surgeonfish,Eyestripe Surgeonfish
Acanthurus chirurgus,Doctorfish,Doctorfish
Naso brachycentron,Humpback unicornfish,Humpback Unicornfish
Acanthurus polyzona,Black-barred surgeonfish,Black-Barred Surgeonfish
Acanthurus bahianus,Ocean surgeon,Ocean Surgeon
Ctenochaetus tominiensis,Tomini surgeonfish,Tomini Surgeonfish
Acanthurus sohal,Sohal surgeonfish,Sohal Surgeonfish
Naso annulatus,Whitemargin unicornfish,Whitemargin Unicornfish
Acanthurus xanthopterus,Yellowfin surgeonfish,Yellowfin Surgeonfish
Naso brevirostris,Spotted unicornfish,Spotted Unicornfish
Acanthurus olivaceus,Orangespot surgeonfish,Orangespot Surgeonfish
Ctenochaetus truncatus,Indian gold-ring bristle-tooth,Indian Gold-Ring Bristle-Tooth
Acanthurus lineatus,Lined surgeonfish,Lined Surgeonfish
Acanthurus leucocheilus,Palelipped surgeonfish,Palelipped Surgeonfish
Acanthurus guttatus,Whitespotted surgeonfish,Whitespotted Surgeonfish
Acanthurus tennentii,Doubleband surgeonfish,Doubleband Surgeonfish
Acanthurus tristis,Indian Ocean mimic surgeonfish,Indian Ocean Mimic Surgeonfish
Acanthurus nigroris,Bluelined surgeonfish,Bluelined Surgeonfish
Acanthurus leucosternon,Powderblue surgeonfish,Powderblue Surgeonfish
Zebrasoma rostratum,Longnose surgeonfish,Longnose Surgeonfish
Naso hexacanthus,Sleek unicornfish,Sleek Unicornfish
Naso tuberosus,Humpnose unicornfish,Humpnose Unicornfish
Naso elegans,Elegant unicornfish,Elegant Unicornfish
Zebrasoma scopas,Twotone tang,Twotone Tang
Acanthurus grammoptilus,Finelined surgeonfish,Finelined Surgeonfish
Acanthurus albipectoralis,Whitefin surgeonfish,Whitefin Surgeonfish
Acanthurus thompsoni,Thompson's surgeonfish,Thompson's Surgeonfish
Zebrasoma xanthurum,Yellowtail tang,Yellowtail Tang
Zebrasoma veliferum,NA,"NA"
Acanthurus leucopareius,Whitebar surgeonfish,Whitebar Surgeonfish
Ctenochaetus striatus,Striated surgeonfish,Striated Surgeonfish
Naso caesius,Gray unicornfish,Gray Unicornfish
Ctenochaetus hawaiiensis,Chevron tang,Chevron Tang
Zebrasoma flavescens,Yellow tang,Yellow Tang
Prionurus microlepidotus,Sixplate sawtail,Sixplate Sawtail
Acanthurus nigricauda,Epaulette surgeonfish,Epaulette Surgeonfish
Ctenochaetus flavicauda,null,Null
Acanthurus nigrofuscus,Brown surgeonfish,Brown Surgeonfish
Naso maculatus,null,Null
Prionurus biafraensis,Biafra doctorfish,Biafra Doctorfish
Acanthurus pyroferus,Chocolate surgeonfish,Chocolate Surgeonfish
Acanthurus monroviae,Monrovia doctorfish,Monrovia Doctorfish
Zebrasoma desjardinii,Indian sail-fin surgeonfish,Indian Sail-Fin Surgeonfish
Prionurus maculatus,Yellowspotted sawtail,Yellowspotted Sawtail
Roa australis,Triple-banded butterflyfish,Triple-Banded Butterflyfish
Ecsenius dilemma,Twocoat coralblenny,Twocoat Coralblenny
Ecsenius kurti,Kurt's coralblenny,Kurt's Coralblenny
Istiblennius colei,Cole's rockskipper,Cole's Rockskipper
Holothuria hilla,Tiger Tail,Tiger Tail
Holothuria difficilis,null,Null
Pearsonothuria graeffei,blackspotted sea cucumber,Blackspotted Sea Cucumber
Holothuria scabra,sand fish,Sand Fish
Actinopyga miliaris,hairy blackfish,Hairy Blackfish
Actinopyga lecanora,white-bottomed sea cucumber,White-Bottomed Sea Cucumber
Holothuria pardalis,null,Null
Parastichopus regalis,royale cucumber,Royale Cucumber
Isostichopus macroparentheses,null,Null
Thelenota anax,amber fish,Amber Fish
Holothuria nobilis,black teatfish,Black Teatfish
Actinopyga mauritiana,surf redfish,Surf Redfish
Bohadschia vitiensis,brown sandfish,Brown Sandfish
Actinopyga agassizi,five-toothed sea cucumber,Five-Toothed Sea Cucumber
Isostichopus fuscus,brown sea cucumber,Brown Sea Cucumber
Holothuria leucospilota,white threads fish,White Threads Fish
Pseudostichopus mollis,null,Null
Bohadschia similis,brownspotted sandfish,Brownspotted Sandfish
Holothuria edulis,pinkfish,Pinkfish
Actinopyga palauensis,Panning's blackfish,Panning's Blackfish
Bohadschia marmorata,chalky cucumber,Chalky Cucumber
Holothuria fuscopunctata,elephant trunkfish,Elephant Trunkfish
Holothuria atra,lollyfish,Lollyfish
Apostichopus japonicus,japanese sea cucumber,Japanese Sea Cucumber
Parastichopus californicus,NA,"NA"
Holothuria arenicola,sand sea cucumber,Sand Sea Cucumber
Holothuria rigida,rigid sea cucumber,Rigid Sea Cucumber
Holothuria tubulosa,tubular sea cucumber,Tubular Sea Cucumber
Stichopus chloronotus,greenfish,Greenfish
Thelenota ananas,prickly redfish,Prickly Redfish
Stichopus horrens,Selenka's sea cucumber,Selenka's Sea Cucumber
Holothuria mexicana,donkey dung sea cucumber,Donkey Dung Sea Cucumber
Holothuria fuscocinerea,ashen sea cucumber,Ashen Sea Cucumber
Holothuria cinerascens,null,Null
Holothuria impatiens,impatient sea cucumber,Impatient Sea Cucumber
Bathyplotes moseleyi,spiky sausage sea cucumber,Spiky Sausage Sea Cucumber
Actinopyga echinites,deep-water redfish,Deep-Water Redfish
Isostichopus badionotus,chocolate chip sea cucumber,Chocolate Chip Sea Cucumber
Holothuria pervicax,stubborn sea cucumber,Stubborn Sea Cucumber
Actinopyga caerulea,blue sea cucumber,Blue Sea Cucumber
Holothuria inhabilis,null,Null
Bohadschia argus,leopard fish,Leopard Fish
Elops lacerta,West African ladyfish,West African Ladyfish
Scartichthys viridis,null,Null
Scartichthys gigas,Giant blenny,Giant Blenny
Sphoeroides lobatus,Longnose puffer,Longnose Puffer
Ophioblennius steindachneri,Large-banded blenny,Large-Banded Blenny
Prionurus laticlavius,Razor surgeonfish,Razor Surgeonfish
Semicossyphus darwini,Galápagos sheephead wrasse,Galápagos Sheephead Wrasse
Canthigaster punctatissima,Spotted sharpnosed puffer,Spotted Sharpnosed Puffer
Hypsypops rubicundus,Garibaldi damselfish,Garibaldi Damselfish
Halichoeres chierchiae,Wounded wrasse,Wounded Wrasse
Abudefduf troschelii,Panamic sergeant major,Panamic Sergeant Major
Hypsoblennius brevipinnis,Barnaclebill blenny,Barnaclebill Blenny
Stegastes acapulcoensis,Acapulco major,Acapulco Major
Chromis limbaughi,Limbaugh's damselfish,Limbaugh's Damselfish
Abudefduf declivifrons,Mexican nightsergeant,Mexican Nightsergeant
Stegastes beebei,Southern whitetail major,Southern Whitetail Major
Scarus compressus,Azure parrotfish,Azure Parrotfish
Microspathodon bairdii,Bumphead damselfish,Bumphead Damselfish
Abudefduf concolor,null,Null
Halichoeres aestuaricola,Mangrove wrasse,Mangrove Wrasse
Stegastes arcifrons,Island major,Island Major
Bodianus eclancheri,Harlequin wrasse,Harlequin Wrasse
Stegastes redemptus,Clarion major,Clarion Major
Stegastes rectifraenum,Cortez damselfish,Cortez Damselfish
Sphoeroides rosenblatti,null,Null
Sphoeroides lispus,Naked puffer,Naked Puffer
Hypsoblennius gentilis,Bay blenny,Bay Blenny
Bodianus diplotaenia,Mexican hogfish,Mexican Hogfish
Prionurus punctatus,Yellowtail surgeonfish,Yellowtail Surgeonfish
Sphoeroides annulatus,Bullseye puffer,Bullseye Puffer
Chromis atrilobata,Scissortail damselfish,Scissortail Damselfish
Scartichthys variolatus,null,Null
Halichoeres melanotis,Golden wrasse,Golden Wrasse
Stegastes flavilatus,Beaubrummel,Beaubrummel
Xyrichtys mundiceps,Cape razorfish,Cape Razorfish
Halichoeres adustus,Black wrasse,Black Wrasse
Azurina hirundo,Swallow damsel,Swallow Damsel
Nexilosus latifrons,Coquito sergeant,Coquito Sergeant
Chromis intercrusma,Peruvian chromis,Peruvian Chromis
Nicholsina denticulata,Loosetooth parrotfish,Loosetooth Parrotfish
Halichoeres semicinctus,Rock wrasse,Rock Wrasse
Halichoeres dispilus,Chameleon wrasse,Chameleon Wrasse
Microspathodon dorsalis,Giant damselfish,Giant Damselfish
Scarus perrico,Bumphead parrotfish,Bumphead Parrotfish
Chromis alta,Oval damselfish,Oval Damselfish
Entomacrodus chiostictus,Rock blenny,Rock Blenny
Decodon melasma,Blackspot wrasse,Blackspot Wrasse
Sphoeroides angusticeps,Narrow-headed puffer,Narrow-Headed Puffer
Stegastes leucorus,Whitetail major,Whitetail Major
Plagiotremus azaleus,Sabertooth blenny,Sabertooth Blenny
Thalassoma grammaticum,Sunset wrasse,Sunset Wrasse
Azurina eupalama,Galapagos damsel,Galapagos Damsel
Sphoeroides sechurae,Peruvian puffer,Peruvian Puffer
Halichoeres nicholsi,Spinster wrasse,Spinster Wrasse
Elops affinis,Machete,Machete
Galearctus rapanus,null,Null
Galearctus umbilicatus,null,Null
Eduarctus lewinsohni,null,Null
Stereomastis panglao,null,Null
Eduarctus modestus,slipper lobster,Slipper Lobster
Ibacus pubescens,null,Null
Stereomastis polita,null,Null
Enoplometopus gracilipes,reef lobster,Reef Lobster
Stereomastis sculpta,NA,"NA"
Petrarctus demani,null,Null
Pentacheles gibbus,null,Null
Polycheles enthrix,null,Null
Crenarctus crenatus,null,Null
Stereomastis surda,null,Null
Enoplometopus holthuisi,bullseye reef lobster,Bullseye Reef Lobster
Nupalirus vericeli,Polynesian furrow lobster,Polynesian Furrow Lobster
Polycheles typhlops,null,Null
Thaumastocheles dochmiodon,null,Null
Acantharctus ornatus,null,Null
Polycheles amemiyai,null,Null
Bathyarctus rubens,null,Null
Stereomastis suhmi,deepsea blind lobster,Deepsea Blind Lobster
Pentacheles laevis,blind lobster,Blind Lobster
Stereomastis helleri,null,Null
Chelarctus aureus,null,Null
Polycheles martini,null,Null
Enoplometopus crosnieri,null,Null
Enoplometopus occidentalis,red reef lobster,Red Reef Lobster
Pentacheles snyderi,null,Null
Galearctus timidus,null,Null
Stereomastis auriculata,null,Null
Nephropsis serrata,null,Null
Polycheles coccifer,null,Null
Polycheles tanneri,null,Null
Stereomastis galil,null,Null
Petrarctus holthuisi,null,Null
Stereomastis phosphorus,pink blind lobster,Pink Blind Lobster
Stereomastis aculeata,null,Null
Galearctus kitanoviriosus,Kitano locust lobster,Kitano Locust Lobster
Galearctus aurora,null,Null
Bathyarctus faxoni,null,Null
Chelarctus cultrifer,null,Null
Willemoesia pacifica,null,Null
Polycheles baccatus,null,Null
Eduarctus reticulatus,null,Null
Biarctus pumilus,null,Null
Pentacheles obscurus,null,Null
Crenarctus bicuspidatus,slipper lobsters,Slipper Lobsters
Eduarctus aesopius,null,Null
Parablennius gattorugine,Tompot blenny,Tompot Blenny
Acantholabrus palloni,Scale-rayed wrasse,Scale-Rayed Wrasse
Bodianus dictynna,Redfin hogfish,Redfin Hogfish
Halichoeres pardaleocephalus,Lineblotch wrasse,Lineblotch Wrasse
Choerodon margaritiferus,Pearly tuskfish,Pearly Tuskfish
Coris nigrotaenia,Blackbar coris,Blackbar Coris
Hemigymnus fasciatus,Barred thicklip,Barred Thicklip
Leptojulis lambdastigma,null,Null
Bodianus opercularis,Blackspot hogfish,Blackspot Hogfish
Coris variegata,Dapple coris,Dapple Coris
Thalassoma lunare,Moon wrasse,Moon Wrasse
Cheilio inermis,Cigar wrasse,Cigar Wrasse
Cheilinus chlorourus,Floral wrasse,Floral Wrasse
Cirrhilabrus tonozukai,Tono's wrasse,Tono's Wrasse
Suezichthys caudavittatus,Spottail wrasse,Spottail Wrasse
Bodianus thoracotaeniatus,null,Null
Paracheilinus mccoskeri,McCosker's flasher,McCosker's Flasher
Coris pictoides,Blackstripe coris,Blackstripe Coris
Iniistius aneitensis,Yellowblotch razorfish,Yellowblotch Razorfish
Labroides dimidiatus,Bluestreak cleaner wrasse,Bluestreak Cleaner Wrasse
Labrus mixtus,Cuckoo wrasse,Cuckoo Wrasse
Labrus bergylta,Ballan wrasse,Ballan Wrasse
Iniistius umbrilatus,Razor wrasse fish,Razor Wrasse Fish
Choerodon vitta,Redstripe tuskfish,Redstripe Tuskfish
Halichoeres dimidiatus,null,Null
Paracheilinus filamentosus,Filamentous wrasse,Filamentous Wrasse
Halichoeres caudalis,Painted wrasse,Painted Wrasse
Hologymnosus longipes,Sidespot longface wrasse,Sidespot Longface Wrasse
Wetmorella nigropinnata,Sharpnose wrasse,Sharpnose Wrasse
Ophthalmolepis lineolata,Maori wrasse,Maori Wrasse
Cirrhilabrus marjorie,Marjorie's Wrasse,Marjorie's Wrasse
Iniistius pentadactylus,Fivefinger wrasse,Fivefinger Wrasse
Iniistius trivittatus,null,Null
Paracheilinus attenuatus,null,Null
Macropharyngodon kuiteri,Black leopard wrasse,Black Leopard Wrasse
Cirrhilabrus earlei,Orange-striped wrasse,Orange-Striped Wrasse
Macropharyngodon bipartitus,Rare wrasse,Rare Wrasse
Coris batuensis,Batu coris,Batu Coris
Thalassoma pavo,Ornate wrasse,Ornate Wrasse
Choerodon zamboangae,Purple eyebrowed tuskfish,Purple Eyebrowed Tuskfish
Paracheilinus walton,Walton's flasherwrasse,Walton's Flasherwrasse
Thalassoma loxum,null,Null
Oxycheilinus orientalis,Oriental maori wrasse,Oriental Maori Wrasse
Stethojulis bandanensis,Red shoulder wrasse,Red Shoulder Wrasse
Conniella apterygia,Mutant wrasse,Mutant Wrasse
Notolabrus tetricus,Blue-throated wrasse,Blue-Throated Wrasse
Cirrhilabrus bathyphilus,Deepwater wrasse,Deepwater Wrasse
Halichoeres leucoxanthus,Canarytop wrasse,Canarytop Wrasse
Choerodon cephalotes,Purple tuskfish,Purple Tuskfish
Pteragogus cryptus,Cryptic wrasse,Cryptic Wrasse
Halichoeres bleekeri,null,Null
Stethojulis marquesensis,null,Null
Coris gaimard,African coris,African Coris
Halichoeres prosopeion,Twotone wrasse,Twotone Wrasse
Cirrhilabrus laboutei,Laboute's wrasse,Laboute's Wrasse
Cirrhilabrus condei,Conde's wrasse,Conde's Wrasse
Novaculichthys taeniourus,Rockmover wrasse,Rockmover Wrasse
Halichoeres margaritaceus,Pink-belly wrasse,Pink-Belly Wrasse
Halichoeres pictus,Rainbow wrasse,Rainbow Wrasse
Thalassoma cupido,null,Null
Cirrhilabrus jordani,Flame wrasse,Flame Wrasse
Tautogolabrus adspersus,Cunner,Cunner
Coris dorsomacula,Pale-barred coris,Pale-Barred Coris
Halichoeres argus,Argus wrasse,Argus Wrasse
Cirrhilabrus katherinae,Katherine's wrasse,Katherine's Wrasse
Anampses elegans,Elegant wrasse,Elegant Wrasse
Halichoeres scapularis,Zigzag wrasse,Zigzag Wrasse
Symphodus trutta,NA,"NA"
Doratonotus megalepis,Dwarf wrasse,Dwarf Wrasse
Cirrhilabrus brunneus,Dusky fairy-warsse,Dusky Fairy-Warsse
Cirrhilabrus exquisitus,Exquisite wrasse,Exquisite Wrasse
Pseudojuloides mesostigma,Sidespot wrasse,Sidespot Wrasse
Leptojulis urostigma,Tailmark wrasse,Tailmark Wrasse
Halichoeres stigmaticus,U-spot wrasse,U-Spot Wrasse
Oxycheilinus digramma,Cheeklined wrasse,Cheeklined Wrasse
Halichoeres cosmetus,Adorned wrasse,Adorned Wrasse
Xyrichtys koteamea,NA,"NA"
Choerodon gymnogenys,null,Null
Pseudocoris bleekeri,Philippines wrasse,Philippines Wrasse
Halichoeres vrolikii,Indian Ocean pinstriped wrasse,Indian Ocean Pinstriped Wrasse
Halichoeres trimaculatus,Threespot wrasse,Threespot Wrasse
Symphodus mediterraneus,Axillary wrasse,Axillary Wrasse
Hemigymnus melapterus,Blackeye thicklip,Blackeye Thicklip
Pseudocheilinus hexataenia,Sixline wrasse,Sixline Wrasse
Halichoeres leucurus,Greyhead wrasse,Greyhead Wrasse
Tautoga onitis,Tautog,Tautog
Pseudolabrus miles,Scarlet wrasse,Scarlet Wrasse
Halichoeres bivittatus,Slippery dick,Slippery Dick
Cirrhilabrus melanomarginatus,Blackfin fairy-warsse,Blackfin Fairy-Warsse
Cirrhilabrus solorensis,Red-eye wrasse,Red-Eye Wrasse
Suezichthys notatus,Northern rainbow wrasse,Northern Rainbow Wrasse
Stethojulis strigiventer,Three-ribbon wrasse,Three-Ribbon Wrasse
Thalassoma amblycephalum,Bluntheaded wrasse,Bluntheaded Wrasse
Austrolabrus maculatus,null,Null
Symphodus ocellatus,null,Null
Bodianus speciosus,Blackbar hogfish,Blackbar Hogfish
Paracheilinus cyaneus,Blue flasherwrasse,Blue Flasherwrasse
Bodianus scrofa,Barred hogfish,Barred Hogfish
Cheilinus abudjubbe,null,Null
Labropsis xanthonota,Yellowback tubelip,Yellowback Tubelip
Coris ballieui,null,Null
Choerodon zosterophorus,Zoster wrasse,Zoster Wrasse
Cirrhilabrus randalli,Randall's wrasse,Randall's Wrasse
Cirrhilabrus flavidorsalis,Yellowfin fairy wrasse,Yellowfin Fairy Wrasse
Bodianus frenchii,Foxfish,Foxfish
Halichoeres richmondi,Richmond's wrasse,Richmond's Wrasse
Choerodon fasciatus,Harlequin tuskfish,Harlequin Tuskfish
Halichoeres cyanocephalus,Yellowcheek wrasse,Yellowcheek Wrasse
Paracheilinus carpenteri,Pink flasher,Pink Flasher
Halichoeres podostigma,Axil spot  wrasse,Axil Spot  Wrasse
Bodianus axillaris,Axilspot hogfish,Axilspot Hogfish
Diproctacanthus xanthurus,Yellowtail tubelip,Yellowtail Tubelip
Cirrhilabrus luteovittatus,Yellowband wrasse,Yellowband Wrasse
Pictilabrus laticlavius,Patrician wrasse,Patrician Wrasse
Achoerodus gouldii,Western blue groper,Western Blue Groper
Symphodus bailloni,Baillon's wrasse,Baillon's Wrasse
Oxycheilinus bimaculatus,Two-spot wrasse,Two-Spot Wrasse
Thalassoma rueppellii,Klunzinger's wrasse,Klunzinger's Wrasse
Terelabrus rubrovittatus,null,Null
Larabicus quadrilineatus,Fourline wrasse,Fourline Wrasse
Hologymnosus doliatus,Pastel ringwrasse,Pastel Ringwrasse
Bodianus paraleucosticticus,null,Null
Cymolutes torquatus,Finescale razorfish,Finescale Razorfish
Halichoeres raisneri,NA,"NA"
Pseudolabrus guentheri,Günther's wrasse,Günther's Wrasse
Halichoeres zeylonicus,Goldstripe wrasse,Goldstripe Wrasse
Notolabrus parilus,Brownspotted wrasse,Brownspotted Wrasse
Gomphosus varius,Bird wrasse,Bird Wrasse
Halichoeres orientalis,null,Null
Cirrhilabrus roseafascia,pink-banded fairy-warsse,Pink-Banded Fairy-Warsse
Iniistius twistii,Redblotch razorfish,Redblotch Razorfish
Labrus merula,Brown wrasse,Brown Wrasse
Cirrhilabrus cenderawasih,Cenderawasih wrasse,Cenderawasih Wrasse
Cirrhilabrus cyanopleura,Blueside wrasse,Blueside Wrasse
Halichoeres timorensis,Timor wrasse,Timor Wrasse
Clepticus parrae,Creole wrasse,Creole Wrasse
Pseudocoris yamashiroi,Redspot wrasse,Redspot Wrasse
Halichoeres nebulosus,Nebulous wrasse,Nebulous Wrasse
Halichoeres maculipinna,Clown wrasse,Clown Wrasse
Hemigymnus sexfasciatus,null,Null
Bodianus vulpinus,Western pigfish,Western Pigfish
Bodianus bilunulatus,Tarry hogfish,Tarry Hogfish
Anampses chrysocephalus,Red tail wrasse,Red Tail Wrasse
Thalassoma hardwicke,Sixbar wrasse,Sixbar Wrasse
Paracheilinus lineopunctatus,Spot-lined flasher,Spot-Lined Flasher
Halichoeres solorensis,Green wrasse,Green Wrasse
Suezichthys gracilis,Slender wrasse,Slender Wrasse
Stethojulis interrupta,Cutribbon wrasse,Cutribbon Wrasse
Halichoeres melasmapomus,Cheekspot wrasse,Cheekspot Wrasse
Halichoeres biocellatus,Red-lined wrasse,Red-Lined Wrasse
Notolabrus cinctus,null,Null
Anampses lennardi,Blue and yellow wrasse,Blue and Yellow Wrasse
Choerodon oligacanthus,White-patch tuskfish,White-Patch Tuskfish
Gomphosus caeruleus,Green birdmouth wrasse,Green Birdmouth Wrasse
Bodianus pulchellus,Spotfin hogfish,Spotfin Hogfish
Bodianus prognathus,null,Null
Symphodus rostratus,null,Null
Suezichthys soelae,Soela wrasse,Soela Wrasse
Labroides pectoralis,Blackspot cleaner wrasse,Blackspot Cleaner Wrasse
Bodianus sepiacaudus,Crescent-tail hogfish,Crescent-Tail Hogfish
Oxycheilinus nigromarginatus,Blackmargin maori wrasse,Blackmargin Maori Wrasse
Choerodon anchorago,Orange-dotted tuskfish,Orange-Dotted Tuskfish
Cirrhilabrus pylei,Pyle's wrasse,Pyle's Wrasse
Cirrhilabrus rubrisquamis,null,Null
Bodianus cylindriatus,null,Null
Halichoeres poeyi,Blackear wrasse,Blackear Wrasse
Halichoeres signifer,null,Null
Pseudojuloides atavai,Polynesian wrasse,Polynesian Wrasse
Bodianus diana,Diana's hogfish,Diana's Hogfish
Suezichthys aylingi,Crimson cleaner fish,Crimson Cleaner Fish
Halichoeres iridis,null,Null
Iniistius auropunctatus,null,Null
Pseudocheilinops ataenia,Pelvic-spot wrasse,Pelvic-Spot Wrasse
Symphodus caeruleus,NA,"NA"
Cirrhilabrus balteatus,Girdled wrasse,Girdled Wrasse
Bodianus rubrisos,Red-sashed hogfish,Red-Sashed Hogfish
Halichoeres bicolor,Pearly-spotted wrasse,Pearly-Spotted Wrasse
Cirrhilabrus scottorum,Scott's wrasse,Scott's Wrasse
Halichoeres nigrescens,Bubblefin wrasse,Bubblefin Wrasse
Thalassoma ballieui,Blacktail wrasse,Blacktail Wrasse
Coris flavovittata,Yellowstripe coris,Yellowstripe Coris
Coris roseoviridis,null,Null
Pteragogus enneacanthus,Cockerel wrasse,Cockerel Wrasse
Cirrhilabrus lubbocki,Lubbock's wrasse,Lubbock's Wrasse
Iniistius celebicus,Celebes razorfish,Celebes Razorfish
Pseudocoris ocellata,null,Null
Choerodon jordani,Jordan's tuskfish,Jordan's Tuskfish
Decodon puellaris,Red hogfish,Red Hogfish
Cirrhilabrus lunatus,null,Null
Cheilinus lunulatus,Broomtail wrasse,Broomtail Wrasse
Labropsis manabei,Northern tubelip,Northern Tubelip
Pseudocheilinus octotaenia,Eight-lined wrasse,Eight-Lined Wrasse
Epibulus brevis,Latent slingjaw wrasse,Latent Slingjaw Wrasse
Iniistius dea,Blackspot razorfish,Blackspot Razorfish
Halichoeres chrysus,Canary wrasse,Canary Wrasse
Pteragogus guttatus,Sneaky wrasse,Sneaky Wrasse
Hologymnosus rhodonotus,Redback longface wrasse,Redback Longface Wrasse
Xyrichtys pastellus,NA,"NA"
Pictilabrus viridis,False senator wrasse,False Senator Wrasse
Labrichthys unilineatus,Tubelip wrasse,Tubelip Wrasse
Stethojulis albovittata,Bluelined wrasse,Bluelined Wrasse
Notolabrus gymnogenis,Crimsonband wrasse,Crimsonband Wrasse
Halichoeres miniatus,Circle-cheek wrasse,Circle-Cheek Wrasse
Paracheilinus flavianalis,Yellowfin flasher wrasse,Yellowfin Flasher Wrasse
Cirrhilabrus temminckii,Threadfin wrasse,Threadfin Wrasse
Bodianus bimaculatus,Twospot hogfish,Twospot Hogfish
Anampses lineatus,Lined wrasse,Lined Wrasse
Coris cuvieri,null,Null
Pseudolabrus mortonii,NA,"NA"
Bodianus insularis,Island hogfish,Island Hogfish
Cirrhilabrus lanceolatus,Long-tailed wrasse,Long-Tailed Wrasse
Pseudojuloides severnsi,Severns' wrasse,Severns' Wrasse
Bodianus mesothorax,Splitlevel hogfish,Splitlevel Hogfish
Choerodon melanostigma,null,Null
Bodianus macrourus,Black-banded hogfish,Black-Banded Hogfish
Cheilinus oxycephalus,Snooty wrasse,Snooty Wrasse
Bodianus flavipinnis,Yellowfin pigfish,Yellowfin Pigfish
Pteragogus pelycus,Sideburn wrasse,Sideburn Wrasse
Thalassoma bifasciatum,Bluehead,Bluehead
Symphodus roissali,Five-spotted wrasse,Five-Spotted Wrasse
Labrus viridis,null,Null
Iniistius melanopus,Yellowpatch razorfish,Yellowpatch Razorfish
Paracheilinus angulatus,Angular flasher,Angular Flasher
Iniistius griffithsi,Griffiths' razorfish,Griffiths' Razorfish
Pseudocheilinus evanidus,Striated wrasse,Striated Wrasse
Coris hewetti,null,Null
Notolabrus celidotus,Spotty,Spotty
Coris formosa,Queen coris,Queen Coris
Pseudocheilinus dispilus,null,Null
Macropharyngodon cyanoguttatus,null,Null
Xyrichtys splendens,Green razorfish,Green Razorfish
Bodianus rufus,Spanish hogfish,Spanish Hogfish
Halichoeres hortulanus,Checkerboard wrasse,Checkerboard Wrasse
Oxycheilinus unifasciatus,Ringtail maori wrasse,Ringtail Maori Wrasse
Labropsis australis,Southern tubelip,Southern Tubelip
